datetime,stake,unstake,deposit,redeem,stake_tx_count,unstake_tx_count,deposit_tx_count,redeem_tx_count,stake_addr_count,unstake_addr_count,deposit_addr_count,redeem_addr_count
2021-04-04 0:00,1.247494966,0,1380.715241,0,1,0,1,0,1,0,1,0
2021-04-04 1:00,84.98921404,0,0,0,6,0,0,0,6,0,0,0
2021-04-04 2:00,199.705434,28.47127,0,0,7,3,0,0,7,3,0,0
2021-04-04 3:00,26.82446894,0,361.7668705,0,4,0,1,0,4,0,1,0
2021-04-04 4:00,69.74123303,80.38996083,0,0,12,2,0,0,11,2,0,0
2021-04-04 5:00,31.96756611,30.24820713,0,6.112255593,3,4,0,1,3,4,0,1
2021-04-04 6:00,77.43746583,0,342.3486633,0,5,0,2,0,5,0,2,0
2021-04-04 7:00,30.58925748,0,0,0,5,0,0,0,5,0,0,0
2021-04-04 8:00,88.05599937,25.95793401,0,0,3,2,0,0,3,2,0,0
2021-04-04 9:00,11.20664373,185.644978,206.8723163,0,2,5,1,0,2,5,1,0
2021-04-04 10:00,91.68699284,0,0,0,5,0,0,0,5,0,0,0
2021-04-04 11:00,22.53451225,4.025671363,279.1594166,0,2,1,1,0,2,1,1,0
2021-04-04 12:00,4.84190665,0,0,0.635864873,2,0,0,1,2,0,0,1
2021-04-04 13:00,0.6,42,0,0,1,1,0,0,1,1,0,0
2021-04-04 14:00,35,89.992,24.25229919,11.66396394,4,1,1,1,4,1,1,1
2021-04-04 15:00,142.0504548,0,0,0,10,0,0,0,9,0,0,0
2021-04-04 16:00,38.07788506,231.1330044,0,0,8,4,0,0,8,4,0,0
2021-04-04 17:00,69.5815841,0,8236.747983,0,5,0,1,0,5,0,1,0
2021-04-04 18:00,114.4295051,62.59890967,0,0,11,5,0,0,10,5,0,0
2021-04-04 19:00,23.25797353,5,0,0,6,1,0,0,6,1,0,0
2021-04-04 20:00,171.1991977,226.7195655,0,0,5,8,0,0,5,8,0,0
2021-04-04 21:00,267.1264425,99.17250261,41.14354757,0,9,11,1,0,9,11,1,0
2021-04-04 22:00,145.4924086,173.7470303,0,0,9,12,0,0,9,12,0,0
2021-04-04 23:00,302.0690233,149.8893059,3132.324262,120.5354693,4,10,1,1,4,9,1,1
2021-04-05 0:00,14.40283475,30,559.527171,0,7,1,1,0,7,1,1,0
2021-04-05 1:00,356.6156955,92.71289074,77.37999824,187.5169938,10,6,1,2,9,6,1,2
